iso2,n_trimestres,repos_acumulado_total,repos_acumulado_2025,inbounds_total,inbounds_2025,relevancia_total,relevancia_2025,relevancia_2025_repos2025,inbounds_total_noEU,inbounds_2025_noEU,relevancia_total_noEU,relevancia_2025_noEU
ES,24,87092474,22267103,2777625,686582,0.031893,0.007883,0.030834,2777625,686582,0.031893,0.007883
EE,24,6156090,1545072,219851,40306,0.035713,0.006547,0.026087,219851,40306,0.035713,0.006547
SG,24,79025220,24730845,2045930,649800,0.02589,0.008223,0.026275,1863648,598492,0.023583,0.007573
DE,24,153809309,37624658,13781473,2920604,0.089601,0.018988,0.077625,13781473,2920604,0.089601,0.018988
PT,24,22260641,5804364,730046,170886,0.032795,0.007677,0.029441,730046,170886,0.032795,0.007677
